frame,time_sec,x,y,z,Lp_dB
0,0.0,-0.020000000000000018,0.15999999999999998,0.3,77.79530746509931
1,0.032,-0.020000000000000018,0.15999999999999998,0.3,76.27675259581804
2,0.064,-0.020000000000000018,0.14,0.3,70.05691289303553
3,0.096,0.15999999999999998,0.19,0.3,73.51932730951012
4,0.128,-0.010000000000000009,0.12,0.3,71.26695057601607
5,0.16,-0.010000000000000009,0.15000000000000002,0.3,74.68626304555045
6,0.192,0.15999999999999998,0.19,0.3,73.39701580150181
7,0.224,-0.010000000000000009,0.13,0.3,72.31977543297995
8,0.256,0.15999999999999998,0.2,0.3,73.37067119584073
9,0.288,0.16999999999999998,0.08000000000000002,0.3,65.99803622255234
10,0.32,0.18,-0.16,0.3,65.44351834940757
11,0.352,-0.2,-0.2,0.3,66.30572873535283
12,0.384,0.009999999999999981,0.09999999999999998,0.3,72.56806835997806
13,0.416,0.009999999999999981,0.08999999999999997,0.3,70.44584964989043
14,0.448,-0.17,0.18,0.3,69.33513630578315
15,0.48,0.19,-0.010000000000000009,0.3,68.50512737167296
16,0.512,0.01999999999999999,-0.03,0.3,65.43404241306959
17,0.544,-0.14,-0.010000000000000009,0.3,69.00707741330135
18,0.576,-0.03,-0.05000000000000002,0.3,67.18676781964929
19,0.608,0.09999999999999998,-0.06,0.3,65.8871796365112
20,0.64,0.01999999999999999,0.01999999999999999,0.3,66.47633460388654
21,0.672,-0.03,-0.11000000000000001,0.3,66.4379368550787
22,0.704,-0.06,-0.18000000000000002,0.3,67.0504822432772
23,0.736,-0.07,-0.17,0.3,67.78595184621801
24,0.768,-0.020000000000000018,-0.12000000000000001,0.3,67.46057325540406
25,0.8,-0.07,-0.19,0.3,73.70606900015704
26,0.832,-0.07,0.2,0.3,72.02401051754396
27,0.864,-0.07,0.16999999999999998,0.3,69.97703510324068
28,0.896,-0.010000000000000009,-0.16,0.3,68.07953501873325
29,0.928,-0.03,0.2,0.3,68.35910772520272
30,0.96,0.2,0.16999999999999998,0.3,68.36443068747901
31,0.992,-0.020000000000000018,0.2,0.3,71.75776068882583
32,1.024,-0.03,-0.17,0.3,67.17792802544096
33,1.056,0.01999999999999999,-0.18000000000000002,0.3,66.6191497896108
34,1.088,0.0,-0.16,0.3,67.76944426731797
35,1.12,0.08000000000000002,0.07,0.3,66.50948030903633
36,1.152,-0.010000000000000009,0.19,0.3,66.32567969088622
37,1.184,-0.03,0.2,0.3,66.92022567406747
38,1.216,0.16999999999999998,-0.05000000000000002,0.3,66.09743012023472
39,1.248,-0.04000000000000001,0.15000000000000002,0.3,65.84809343183251
40,1.28,-0.010000000000000009,-0.19,0.3,81.22605552541995
41,1.312,-0.010000000000000009,-0.19,0.3,84.83870570440489
42,1.344,0.2,0.19,0.3,82.9062549715713
43,1.376,-0.07,0.15999999999999998,0.3,78.71322554507819
44,1.408,-0.07,0.15999999999999998,0.3,77.43540077064796
45,1.44,-0.07,0.16999999999999998,0.3,83.00373046424627
46,1.472,-0.06,0.19,0.3,68.28456065683888
47,1.504,0.03,0.06,0.3,65.79580678382828
48,1.536,-0.14,-0.19,0.3,65.85820025861379
49,1.568,0.13,-0.2,0.3,66.24830270003118
50,1.6,0.08999999999999997,0.16999999999999998,0.3,68.26035545826781
51,1.632,-0.15000000000000002,-0.19,0.3,65.86931660562983
52,1.664,0.08000000000000002,-0.04000000000000001,0.3,65.4586094497286
53,1.696,-0.11000000000000001,0.18,0.3,65.8040358282172
54,1.728,0.0,-0.03,0.3,69.34659232762284
55,1.76,0.01999999999999999,0.0,0.3,65.82759372691038
56,1.792,-0.17,0.16999999999999998,0.3,65.36751798979495
57,1.824,-0.2,0.009999999999999981,0.3,65.98290378319558
58,1.856,-0.020000000000000018,0.08999999999999997,0.3,72.03919193989607
59,1.888,-0.05000000000000002,-0.15000000000000002,0.3,66.69569221036097
60,1.92,-0.010000000000000009,0.10999999999999999,0.3,67.68269082162071
61,1.952,-0.03,0.10999999999999999,0.3,70.3358218441721
62,1.984,-0.03,0.10999999999999999,0.3,79.28179135331293
63,2.016,-0.020000000000000018,0.14,0.3,74.09140975696472
64,2.048,-0.04000000000000001,0.08000000000000002,0.3,79.92485144904911
65,2.08,-0.18000000000000002,-0.2,0.3,67.67304877987884
66,2.112,-0.03,0.03999999999999998,0.3,66.91361777537284
67,2.144,-0.03,0.12,0.3,80.84540832662567
68,2.176,-0.020000000000000018,0.15999999999999998,0.3,67.80815769509205
69,2.208,-0.010000000000000009,0.16999999999999998,0.3,68.8258594943345
70,2.24,-0.2,0.15999999999999998,0.3,66.1684602146405
71,2.272,0.04999999999999999,0.03999999999999998,0.3,66.30976658783638
72,2.304,-0.07,0.07,0.3,65.89542247335098
73,2.336,-0.2,-0.03,0.3,65.89666723719964
74,2.368,-0.03,0.16999999999999998,0.3,68.39942179078199
75,2.4,-0.19,0.13,0.3,66.32699820421088
76,2.432,0.01999999999999999,0.18,0.3,66.5034172080678
77,2.464,-0.010000000000000009,0.14,0.3,69.03165825701196
78,2.496,-0.03,0.09999999999999998,0.3,71.92261885219463
79,2.528,0.09999999999999998,0.08000000000000002,0.3,66.21900199125068
80,2.56,-0.03,0.09999999999999998,0.3,69.54960907223905
81,2.592,-0.04000000000000001,0.07,0.3,70.23772371830188
82,2.624,-0.010000000000000009,0.15000000000000002,0.3,72.02572840829316
83,2.656,-0.03,0.09999999999999998,0.3,72.71349584148338
84,2.688,0.09999999999999998,-0.2,0.3,66.23222391005869
