frame,time_sec,x,y,z,Lp_dB
0,0.0,-0.020000000000000018,0.15999999999999998,0.3,77.79530747918034
1,0.032,-0.020000000000000018,0.15999999999999998,0.3,76.27675259881647
2,0.064,-0.020000000000000018,0.14,0.3,70.05691286977536
3,0.096,0.15999999999999998,0.19,0.3,73.5193273014576
4,0.128,-0.010000000000000009,0.12,0.3,71.26695059590244
5,0.16,-0.010000000000000009,0.15000000000000002,0.3,74.68626303277213
6,0.192,0.15999999999999998,0.19,0.3,73.39701578501477
7,0.224,-0.010000000000000009,0.13,0.3,72.31977542214237
8,0.256,0.15999999999999998,0.2,0.3,73.37067117030577
9,0.288,0.16999999999999998,0.08000000000000002,0.3,65.99803623374106
10,0.32,0.18,-0.16,0.3,65.44351831654917
11,0.352,-0.2,-0.2,0.3,66.30572875291897
12,0.384,0.009999999999999981,0.09999999999999998,0.3,72.56806837809363
13,0.416,0.009999999999999981,0.08999999999999997,0.3,70.44584965075656
14,0.448,-0.17,0.18,0.3,69.33513628679913
15,0.48,0.19,-0.010000000000000009,0.3,68.5051273896322
16,0.512,0.01999999999999999,-0.03,0.3,65.43404240960676
17,0.544,-0.14,-0.010000000000000009,0.3,69.00707740614482
18,0.576,-0.03,-0.05000000000000002,0.3,67.18676780654559
19,0.608,0.09999999999999998,-0.06,0.3,65.887179666332
20,0.64,0.01999999999999999,0.01999999999999999,0.3,66.47633457617115
21,0.672,-0.03,-0.11000000000000001,0.3,66.43793682176839
22,0.704,-0.06,-0.18000000000000002,0.3,67.05048227118213
23,0.736,-0.07,-0.17,0.3,67.78595184182203
24,0.768,-0.020000000000000018,-0.12000000000000001,0.3,67.46057327502803
25,0.8,-0.07,-0.19,0.3,73.70606901935108
26,0.832,-0.07,0.2,0.3,72.02401049851832
27,0.864,-0.07,0.16999999999999998,0.3,69.97703509151252
28,0.896,-0.010000000000000009,-0.16,0.3,68.07953497125442
29,0.928,-0.03,0.2,0.3,68.35910771753235
30,0.96,0.2,0.16999999999999998,0.3,68.36443069472503
31,0.992,-0.020000000000000018,0.2,0.3,71.75776066778263
32,1.024,-0.03,-0.17,0.3,67.17792804812373
33,1.056,0.01999999999999999,-0.18000000000000002,0.3,66.61914980905928
34,1.088,0.0,-0.16,0.3,67.76944425535453
35,1.12,0.08000000000000002,0.07,0.3,66.50948032130029
36,1.152,-0.010000000000000009,0.19,0.3,66.32567967274784
37,1.184,-0.03,0.2,0.3,66.9202256667282
38,1.216,0.16999999999999998,-0.05000000000000002,0.3,66.09743013936345
39,1.248,-0.04000000000000001,0.15000000000000002,0.3,65.84809342253173
40,1.28,-0.010000000000000009,-0.19,0.3,81.22605552685604
41,1.312,-0.010000000000000009,-0.19,0.3,84.83870570970697
42,1.344,0.2,0.19,0.3,82.90625502870624
43,1.376,-0.07,0.15999999999999998,0.3,78.71322555065929
44,1.408,-0.07,0.15999999999999998,0.3,77.4354007768716
45,1.44,-0.07,0.16999999999999998,0.3,83.00373046773117
46,1.472,-0.06,0.19,0.3,68.28456066146097
47,1.504,0.03,0.06,0.3,65.79580678860626
48,1.536,-0.14,-0.19,0.3,65.85820026320567
49,1.568,0.13,-0.2,0.3,66.24830267335982
50,1.6,0.08999999999999997,0.16999999999999998,0.3,68.26035548574431
51,1.632,-0.15000000000000002,-0.19,0.3,65.86931657250716
52,1.664,0.08000000000000002,-0.04000000000000001,0.3,65.45860948029177
53,1.696,-0.11000000000000001,0.18,0.3,65.80403580378959
54,1.728,0.0,-0.03,0.3,69.3465922960023
55,1.76,0.01999999999999999,0.0,0.3,65.82759376065958
56,1.792,-0.17,0.16999999999999998,0.3,65.36751796747431
57,1.824,-0.2,0.009999999999999981,0.3,65.9829038050163
58,1.856,-0.020000000000000018,0.08999999999999997,0.3,72.03919195307121
59,1.888,-0.05000000000000002,-0.15000000000000002,0.3,66.69569219181894
60,1.92,-0.010000000000000009,0.10999999999999999,0.3,67.68269082032188
61,1.952,-0.03,0.10999999999999999,0.3,70.33582184453638
62,1.984,-0.03,0.10999999999999999,0.3,79.28179133915263
63,2.016,-0.020000000000000018,0.14,0.3,74.09140975052676
64,2.048,-0.04000000000000001,0.08000000000000002,0.3,79.92485144329945
65,2.08,-0.18000000000000002,-0.2,0.3,67.6730487556846
66,2.112,-0.03,0.03999999999999998,0.3,66.9136177675047
67,2.144,-0.03,0.12,0.3,80.84540835070194
68,2.176,-0.020000000000000018,0.15999999999999998,0.3,67.80815769251474
69,2.208,-0.010000000000000009,0.16999999999999998,0.3,68.82585951926923
70,2.24,-0.2,0.15999999999999998,0.3,66.16846022593145
71,2.272,0.04999999999999999,0.03999999999999998,0.3,66.30976656573438
72,2.304,-0.07,0.07,0.3,65.89542243555681
73,2.336,-0.2,-0.03,0.3,65.89666726583833
74,2.368,-0.03,0.16999999999999998,0.3,68.39942180455479
75,2.4,-0.19,0.13,0.3,66.32699819160345
76,2.432,0.01999999999999999,0.18,0.3,66.50341721892717
77,2.464,-0.010000000000000009,0.14,0.3,69.03165825528788
78,2.496,-0.03,0.09999999999999998,0.3,71.92261884755902
79,2.528,0.09999999999999998,0.08000000000000002,0.3,66.21900202348561
80,2.56,-0.03,0.09999999999999998,0.3,69.54960908226116
81,2.592,-0.04000000000000001,0.07,0.3,70.23772373172204
82,2.624,-0.010000000000000009,0.15000000000000002,0.3,72.02572838910869
83,2.656,-0.03,0.09999999999999998,0.3,72.7134958372993
84,2.688,0.09999999999999998,-0.2,0.3,66.2322238463528
85,2.72,-0.08000000000000002,0.08999999999999997,0.3,65.96895646126568
86,2.752,0.15999999999999998,0.16999999999999998,0.3,65.94403107942411
87,2.784,0.10999999999999999,0.09999999999999998,0.3,66.22871378196093
88,2.816,-0.2,0.15999999999999998,0.3,67.63958242908558
89,2.848,-0.19,-0.06,0.3,65.68957009135849
90,2.88,-0.03,-0.07,0.3,65.36030489089535
91,2.912,0.08000000000000002,-0.06,0.3,66.32636509035832
92,2.944,-0.09000000000000001,-0.17,0.3,69.0011189892325
93,2.976,-0.1,-0.17,0.3,66.88605638613313
94,3.008,-0.020000000000000018,-0.14,0.3,67.45304895135587
95,3.04,0.04999999999999999,0.12,0.3,67.31611441953805
96,3.072,-0.13,-0.2,0.3,66.91436480875313
97,3.104,-0.16,-0.2,0.3,68.1223182546404
98,3.136,-0.06,0.0,0.3,65.22096911740226
99,3.168,-0.07,-0.03,0.3,65.1577303262364
100,3.2,0.18,-0.2,0.3,66.11143777782365
101,3.232,0.2,0.15999999999999998,0.3,68.25056786200305
102,3.264,0.15000000000000002,-0.020000000000000018,0.3,64.67689661815567
103,3.296,-0.2,0.16999999999999998,0.3,66.0376477614235
104,3.328,0.08999999999999997,0.13,0.3,65.35556659824618
105,3.36,-0.15000000000000002,-0.14,0.3,65.75318209669992
106,3.392,0.08000000000000002,0.15999999999999998,0.3,67.44619506989173
107,3.424,-0.1,0.08999999999999997,0.3,66.90892014018668
108,3.456,-0.18000000000000002,0.13,0.3,66.7568747208785
109,3.488,0.07,0.12,0.3,66.31686821185323
110,3.52,-0.05000000000000002,-0.1,0.3,66.85933792780558
111,3.552,0.12,-0.03,0.3,65.68478843374947
112,3.584,-0.1,0.09999999999999998,0.3,65.65711701969552
113,3.616,0.04999999999999999,-0.13,0.3,66.55009461222458
114,3.648,0.15999999999999998,-0.2,0.3,65.4285368730012
115,3.68,-0.12000000000000001,-0.14,0.3,66.9052592029327
116,3.712,-0.07,0.07,0.3,70.44879564417315
117,3.744,-0.07,0.07,0.3,69.45142667065552
118,3.776,-0.07,0.07,0.3,69.1776370109693
119,3.808,-0.08000000000000002,0.07,0.3,71.41845985288572
120,3.84,-0.08000000000000002,0.07,0.3,74.32962444408483
121,3.872,-0.07,0.08000000000000002,0.3,66.43842251695885
122,3.904,-0.19,0.12,0.3,67.13290159665488
123,3.936,-0.2,0.15999999999999998,0.3,68.4239599919379
124,3.968,0.2,0.15000000000000002,0.3,68.78097428107067
125,4.0,0.2,0.2,0.3,67.10468112606621
126,4.032,0.2,-0.16,0.3,66.55674678552978
127,4.064,-0.08000000000000002,-0.2,0.3,65.5046510826012
